TRAVEL_ID,LODGING_NM,LODGING_TYPE_CD,PAYMENT_NUM,ROAD_NM_ADDR,PAYMENT_AMT_WON,VISIT_AREA_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,X_COORD,Y_COORD,TRAVELER_ID,MVMN_NM,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_START_YMD
g_g005682,이스턴호텔 제주,1,1,제주특별자치도 서귀포시 서호중로 65,50388,2308280007,아르떼 뮤지엄 제주,제주특별자치도,제주시,애월읍,3,5,126.3450106,33.3967005,g005682,대중교통 등,0,20,6,5,4,6,5,5,4,0,2023-08-28
g_g005682,이스턴호텔 제주,1,1,제주특별자치도 서귀포시 서호중로 65,50388,2308280008,천지연폭포,제주특별자치도,서귀포시,서홍동,1,2,126.5545223,33.2472123,g005682,대중교통 등,0,20,6,5,4,6,5,5,4,0,2023-08-28
g_g005682,이스턴호텔 제주,1,1,제주특별자치도 서귀포시 서호중로 65,50388,2308290003,천제연폭포,제주특별자치도,서귀포시,중문동,1,5,126.4183754,33.2526766,g005682,대중교통 등,0,20,6,5,4,6,5,5,4,0,2023-08-28
g_g005682,이스턴호텔 제주,1,1,제주특별자치도 서귀포시 서호중로 65,50388,2308300003,제주동문시장,제주특별자치도,제주시,일도일동,4,4,126.5283034,33.512784,g005682,대중교통 등,0,20,6,5,4,6,5,5,4,0,2023-08-28
g_g005682,이스턴호텔 제주,1,1,제주특별자치도 서귀포시 서호중로 65,50388,2308300004,바이 제주,제주특별자치도,제주시,용담삼동,4,3,126.504123,33.5165736,g005682,대중교통 등,0,20,6,5,4,6,5,5,4,0,2023-08-28
h_h000001,제주다모르,3,3,제주특별자치도 서귀포시 성산읍 오조로 149-33,158000,2304300001,고 고리 식당,제주특별자치도,제주시,아라일동,1,5,126.5485045,33.4757027,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,팜파스호텔 제주,1,3,제주특별자치도 제주시 서해안로 368-3,50100,2304300001,고 고리 식당,제주특별자치도,제주시,아라일동,1,5,126.5485045,33.4757027,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,제주다모르,3,3,제주특별자치도 서귀포시 성산읍 오조로 149-33,158000,2304300002,함덕해수욕장,제주특별자치도,제주시,조천읍,1,5,126.6692389,33.5430616,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,팜파스호텔 제주,1,3,제주특별자치도 제주시 서해안로 368-3,50100,2304300002,함덕해수욕장,제주특별자치도,제주시,조천읍,1,5,126.6692389,33.5430616,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,제주다모르,3,3,제주특별자치도 서귀포시 성산읍 오조로 149-33,158000,2304300003,별방진,제주특별자치도,제주시,구좌읍,1,3,126.8828987,33.526772,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,팜파스호텔 제주,1,3,제주특별자치도 제주시 서해안로 368-3,50100,2304300003,별방진,제주특별자치도,제주시,구좌읍,1,3,126.8828987,33.526772,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,제주다모르,3,3,제주특별자치도 서귀포시 성산읍 오조로 149-33,158000,2304300004,성산일출봉 농협 하나로마트,제주특별자치도,서귀포시,성산읍,4,4,126.9115453,33.4463797,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,팜파스호텔 제주,1,3,제주특별자치도 제주시 서해안로 368-3,50100,2304300004,성산일출봉 농협 하나로마트,제주특별자치도,서귀포시,성산읍,4,4,126.9115453,33.4463797,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,제주다모르,3,3,제주특별자치도 서귀포시 성산읍 오조로 149-33,158000,2305010003,우도,제주특별자치도,제주시,우도면,1,4,126.9555823,33.50442,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,팜파스호텔 제주,1,3,제주특별자치도 제주시 서해안로 368-3,50100,2305010003,우도,제주특별자치도,제주시,우도면,1,4,126.9555823,33.50442,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,제주다모르,3,3,제주특별자치도 서귀포시 성산읍 오조로 149-33,158000,2305010005,드르쿰다in성산,제주특별자치도,서귀포시,성산읍,6,4,126.9190852,33.4445131,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000001,팜파스호텔 제주,1,3,제주특별자치도 제주시 서해안로 368-3,50100,2305010005,드르쿰다in성산,제주특별자치도,서귀포시,성산읍,6,4,126.9190852,33.4445131,h000001,자가용,1,50,5,4,2,1,4,1,2,2,2023-04-29
h_h000008,올레리조트,4,3,제주특별자치도 제주시 애월읍 부룡수길 33,234000,2306070002,판포 포구,제주특별자치도,제주시,한경면,1,4,126.2000233,33.3650216,h000008,대중교통 등,1,40,3,2,2,2,5,7,2,2,2023-06-06
h_h000008,올레리조트,4,3,제주특별자치도 제주시 애월읍 부룡수길 33,234000,2306070003,선운 정사,제주특별자치도,제주시,애월읍,2,5,126.3071527,33.4293651,h000008,대중교통 등,1,40,3,2,2,2,5,7,2,2,2023-06-06
h_h000008,올레리조트,4,3,제주특별자치도 제주시 애월읍 부룡수길 33,234000,2306080004,대원암,제주특별자치도,제주시,외도이동,2,4,126.4345148,33.4951386,h000008,대중교통 등,1,40,3,2,2,2,5,7,2,2,2023-06-06
h_h000008,올레리조트,4,3,제주특별자치도 제주시 애월읍 부룡수길 33,234000,2306080005,이호테우해수욕장,제주특별자치도,제주시,이호일동,1,4,126.4526908,33.4973768,h000008,대중교통 등,1,40,3,2,2,2,5,7,2,2,2023-06-06
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305180005,물영아리,제주특별자치도,서귀포시,남원읍,1,5,126.6920637,33.3683947,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305180005,물영아리,제주특별자치도,서귀포시,남원읍,1,5,126.6920637,33.3683947,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305180006,서귀포 매일 올레시장,제주특별자치도,서귀포시,서귀동,4,3,126.5632316,33.2501501,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305180006,서귀포 매일 올레시장,제주특별자치도,서귀포시,서귀동,4,3,126.5632316,33.2501501,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305180007,엉또폭포,제주특별자치도,서귀포시,강정동,1,5,126.4999655,33.2685322,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305180007,엉또폭포,제주특별자치도,서귀포시,강정동,1,5,126.4999655,33.2685322,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305190001,한라산국립공원 관음사 탐방로,제주특별자치도,제주시,오라이동,1,2,126.5380065,33.3908377,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305190001,한라산국립공원 관음사 탐방로,제주특별자치도,제주시,오라이동,1,2,126.5380065,33.3908377,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305190002,산방산 탄산온천,제주특별자치도,서귀포시,안덕면,6,5,126.2987402,33.2489093,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305190002,산방산 탄산온천,제주특별자치도,서귀포시,안덕면,6,5,126.2987402,33.2489093,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305190003,금능해수욕장,제주특별자치도,제주시,한림읍,1,5,126.2358899,33.3904488,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305190003,금능해수욕장,제주특별자치도,제주시,한림읍,1,5,126.2358899,33.3904488,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305190005,9.81파크,제주특별자치도,제주시,애월읍,5,5,126.366664,33.3902898,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,씨스테이호텔&스파,1,2,제주특별자치도 제주시 애월읍 애월해안로 255,201434,2305190005,9.81파크,제주특별자치도,제주시,애월읍,5,5,126.366664,33.3902898,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
h_h000009,롯데시티호텔 제주,1,2,제주특별자치도 제주시 도령로 83,19191,2305200002,한라산국립공원 관음사 탐방로,제주특별자치도,제주시,오라이동,1,5,126.5380065,33.3908377,h000009,자가용,0,40,5,3,3,3,5,6,6,1,2023-05-18
